ADDRESS_ID,ADDRESS,APT_COUNT,PERS_COUNT,LINK
1,"Авиамоторная ул., д.1",1,1,http://mos.memo.ru/shot-1.htm#s1
2,"Авиамоторная ул., д.4",6,8,http://mos.memo.ru/shot-1.htm#s1
3,"Авиамоторная ул., д.4а",1,1,http://mos.memo.ru/shot-1.htm#s1
4,"Авиамоторная ул., д.20",1,1,http://mos.memo.ru/shot-1.htm#s1
5,"Авиамоторная ул., д.21",1,1,http://mos.memo.ru/shot-1.htm#s1
6,"Авиамоторная ул., д.23",1,1,http://mos.memo.ru/shot-1.htm#s1
7,"Авиамоторная ул., д.109а",1,1,http://mos.memo.ru/shot-1.htm#s1
8,"Авиамоторная ул., д.117",1,1,http://mos.memo.ru/shot-1.htm#s1
9,"Авиационная ул., д.37а",2,2,http://mos.memo.ru/shot-1.htm#s1
10,"Авиационная ул., д.45а",1,1,http://mos.memo.ru/shot-1.htm#s1
11,"Авиационная ул., д.64",1,1,http://mos.memo.ru/shot-1.htm#s1
12,"Авиационный пер., д.16",1,1,http://mos.memo.ru/shot-1.htm#s2
13,"Автозаводский 1-й пр., д.3",2,2,http://mos.memo.ru/shot-1.htm#s3
14,"Автозаводский 1-й пр., д.4",1,1,http://mos.memo.ru/shot-1.htm#s3
15,"Автозаводский 1-й пр., д.5",1,1,http://mos.memo.ru/shot-1.htm#s3
16,"Автозаводский 1-й пр., д.6",1,3,http://mos.memo.ru/shot-1.htm#s3
17,"Автозаводский 1-й пр., д.7",3,3,http://mos.memo.ru/shot-1.htm#s3
18,"Автозаводский 1-й пр., д.8",3,3,http://mos.memo.ru/shot-1.htm#s3
19,"Автозаводский 1-й пр., д.19",4,4,http://mos.memo.ru/shot-1.htm#s3
20,"Автозаводский 1-й пр., д.22",1,1,http://mos.memo.ru/shot-1.htm#s3
21,"Автозаводский 3-й пр., д.11",1,1,http://mos.memo.ru/shot-1.htm#s4
22,"Адриановский пер., д.6",1,1,http://mos.memo.ru/shot-1.htm#s5
23,"Академика Петровского ул., д.10",1,1,http://mos.memo.ru/shot-1.htm#s6
24,"Академика Петровского ул., д.16",2,2,http://mos.memo.ru/shot-1.htm#s6
25,"Академика Петровского ул., д.16а",26,30,http://mos.memo.ru/shot-1.htm#s6
26,"Академическая Б. ул., д.7",1,1,http://mos.memo.ru/shot-1.htm#s7
27,"Академическая Б. ул., д.13",1,1,http://mos.memo.ru/shot-1.htm#s7
28,"Александра Невского пер., д.4",1,1,http://mos.memo.ru/shot-1.htm#s8
29,"Александра Невского пер., д.5",1,1,http://mos.memo.ru/shot-1.htm#s8
30,"Александровская ул., д.8",1,1,http://mos.memo.ru/shot-1.htm#s9
31,"Александровский пер., д.7",3,3,http://mos.memo.ru/shot-1.htm#s10
32,"Александровский пер., д.11",1,1,http://mos.memo.ru/shot-1.htm#s10
33,"Александровский пер., д.27",1,1,http://mos.memo.ru/shot-1.htm#s10
34,"Алексеевская ул., д.1",1,1,http://mos.memo.ru/shot-1.htm#s11
35,"Алексеевская ул., д.6",1,1,http://mos.memo.ru/shot-1.htm#s11
36,"Алексеевская ул., д.8",1,1,http://mos.memo.ru/shot-1.htm#s11
37,"Алексеевская Б. ул., д.48",1,1,http://mos.memo.ru/shot-1.htm#s12
38,"Алексеевская Б. ул., Проектируемый пр. д.61а",1,1,http://mos.memo.ru/shot-1.htm#s12
39,"Алексеевский Студгородок, 1 чел.",1,1,http://mos.memo.ru/shot-1.htm#s13
40,"Алексеевский Студгородок, д.5",1,1,http://mos.memo.ru/shot-1.htm#s13
41,"Алексеевский Студгородок, д.18",1,1,http://mos.memo.ru/shot-1.htm#s13
42,"Алексеевский Студгородок, д.19",1,1,http://mos.memo.ru/shot-1.htm#s13
43,"Алексеевского Студгородка 4-й пр., д.6",4,4,http://mos.memo.ru/shot-1.htm#s14
44,"Алексеевского Студгородка 4-й пр., д.7",1,1,http://mos.memo.ru/shot-1.htm#s14
45,"Алексеевского Студгородка 4-й пр., д.9",1,1,http://mos.memo.ru/shot-1.htm#s14
46,"Алексеевского Студгородка 4-й пр., д.11",1,1,http://mos.memo.ru/shot-1.htm#s14
